Englisch,Deutsch,Kategorie
hello,hallo,Begrüßung
good morning,guten Morgen,Begrüßung
good evening,guten Abend,Begrüßung
good night,gute Nacht,Begrüßung
goodbye,auf Wiedersehen,Begrüßung
bye,tschüss,Begrüßung
please,bitte,Begrüßung
thank you,danke,Begrüßung
thanks,danke,Begrüßung
you are welcome,gern geschehen,Begrüßung
sorry,Entschuldigung,Begrüßung
excuse me,Entschuldigung,Begrüßung
welcome,willkommen,Begrüßung
yes,ja,Begrüßung
no,nein,Begrüßung
maybe,vielleicht,Begrüßung
okay,in Ordnung,Begrüßung
name,Name,Personen
first name,Vorname,Personen
surname,Nachname,Personen
person,Person,Personen
people,Leute,Personen
friend,Freund,Personen
boy,Junge,Personen
girl,Mädchen,Personen
man,Mann,Personen
woman,Frau,Personen
child,Kind,Personen
children,Kinder,Personen
baby,Baby,Personen
mr,Herr,Personen
mrs,Frau,Personen
age,Alter,Personen
birthday,Geburtstag,Personen
family,Familie,Familie
father,Vater,Familie
mother,Mutter,Familie
parents,Eltern,Familie
son,Sohn,Familie
daughter,Tochter,Familie
brother,Bruder,Familie
sister,Schwester,Familie
grandfather,Großvater,Familie
grandmother,Großmutter,Familie
grandparents,Großeltern,Familie
uncle,Onkel,Familie
aunt,Tante,Familie
cousin,Cousin,Familie
husband,Ehemann,Familie
wife,Ehefrau,Familie
partner,Partner,Familie
zero,null,Zahlen
one,eins,Zahlen
two,zwei,Zahlen
three,drei,Zahlen
four,vier,Zahlen
five,fünf,Zahlen
six,sechs,Zahlen
seven,sieben,Zahlen
eight,acht,Zahlen
nine,neun,Zahlen
ten,zehn,Zahlen
eleven,elf,Zahlen
twelve,zwölf,Zahlen
thirteen,dreizehn,Zahlen
fourteen,vierzehn,Zahlen
fifteen,fünfzehn,Zahlen
sixteen,sechzehn,Zahlen
seventeen,siebzehn,Zahlen
eighteen,achtzehn,Zahlen
nineteen,neunzehn,Zahlen
twenty,zwanzig,Zahlen
thirty,dreißig,Zahlen
forty,vierzig,Zahlen
fifty,fünfzig,Zahlen
sixty,sechzig,Zahlen
seventy,siebzig,Zahlen
eighty,achtzig,Zahlen
ninety,neunzig,Zahlen
hundred,hundert,Zahlen
thousand,tausend,Zahlen
first,erste,Zahlen
second,zweite,Zahlen
third,dritte,Zahlen
number,Nummer,Zahlen
half,Hälfte,Zahlen
all,alle,Zahlen
many,viele,Zahlen
much,viel,Zahlen
some,einige,Zahlen
few,wenige,Zahlen
more,mehr,Zahlen
less,weniger,Zahlen
total,gesamt,Zahlen
time,Zeit,Zeit & Datum
hour,Stunde,Zeit & Datum
minute,Minute,Zeit & Datum
second,Sekunde,Zeit & Datum
day,Tag,Zeit & Datum
today,heute,Zeit & Datum
yesterday,gestern,Zeit & Datum
tomorrow,morgen,Zeit & Datum
week,Woche,Zeit & Datum
weekend,Wochenende,Zeit & Datum
month,Monat,Zeit & Datum
year,Jahr,Zeit & Datum
morning,Morgen,Zeit & Datum
noon,Mittag,Zeit & Datum
afternoon,Nachmittag,Zeit & Datum
evening,Abend,Zeit & Datum
night,Nacht,Zeit & Datum
clock,Uhr,Zeit & Datum
monday,Montag,Wochentage
tuesday,Dienstag,Wochentage
wednesday,Mittwoch,Wochentage
thursday,Donnerstag,Wochentage
friday,Freitag,Wochentage
saturday,Samstag,Wochentage
sunday,Sonntag,Wochentage
january,Januar,Monate
february,Februar,Monate
march,März,Monate
april,April,Monate
may,Mai,Monate
june,Juni,Monate
july,Juli,Monate
august,August,Monate
september,September,Monate
october,Oktober,Monate
november,November,Monate
december,Dezember,Monate
spring,Frühling,Jahreszeiten
summer,Sommer,Jahreszeiten
autumn,Herbst,Jahreszeiten
winter,Winter,Jahreszeiten
now,jetzt,Zeitangaben
later,später,Zeitangaben
early,früh,Zeitangaben
late,spät,Zeitangaben
always,immer,Zeitangaben
never,nie,Zeitangaben
often,oft,Zeitangaben
sometimes,manchmal,Zeitangaben
house,Haus,Wohnen
home,Zuhause,Wohnen
apartment,Wohnung,Wohnen
room,Zimmer,Wohnen
kitchen,Küche,Wohnen
bedroom,Schlafzimmer,Wohnen
living room,Wohnzimmer,Wohnen
bathroom,Badezimmer,Wohnen
garden,Garten,Wohnen
balcony,Balkon,Wohnen
door,Tür,Wohnen
window,Fenster,Wohnen
wall,Wand,Wohnen
floor,Boden,Wohnen
roof,Dach,Wohnen
stairs,Treppe,Wohnen
table,Tisch,Möbel
chair,Stuhl,Möbel
bed,Bett,Möbel
sofa,Sofa,Möbel
closet,Schrank,Möbel
shelf,Regal,Möbel
lamp,Lampe,Möbel
carpet,Teppich,Möbel
mirror,Spiegel,Möbel
key,Schlüssel,Wohnen
food,Essen,Essen & Trinken
drink,Getränk,Essen & Trinken
breakfast,Frühstück,Essen & Trinken
lunch,Mittagessen,Essen & Trinken
dinner,Abendessen,Essen & Trinken
bread,Brot,Essen & Trinken
butter,Butter,Essen & Trinken
cheese,Käse,Essen & Trinken
egg,Ei,Essen & Trinken
meat,Fleisch,Essen & Trinken
chicken,Hähnchen,Essen & Trinken
beef,Rindfleisch,Essen & Trinken
pork,Schweinefleisch,Essen & Trinken
fish,Fisch,Essen & Trinken
soup,Suppe,Essen & Trinken
salad,Salat,Essen & Trinken
vegetables,Gemüse,Essen & Trinken
fruit,Obst,Essen & Trinken
apple,Apfel,Essen & Trinken
banana,Banane,Essen & Trinken
orange,Orange,Essen & Trinken
tomato,Tomate,Essen & Trinken
potato,Kartoffel,Essen & Trinken
water,Wasser,Essen & Trinken
milk,Milch,Essen & Trinken
coffee,Kaffee,Essen & Trinken
tea,Tee,Essen & Trinken
juice,Saft,Essen & Trinken
beer,Bier,Essen & Trinken
wine,Wein,Essen & Trinken
sugar,Zucker,Essen & Trinken
salt,Salz,Essen & Trinken
pepper,Pfeffer,Essen & Trinken
rice,Reis,Essen & Trinken
pasta,Nudeln,Essen & Trinken
cake,Kuchen,Essen & Trinken
ice cream,Eis,Essen & Trinken
clothes,Kleidung,Kleidung
shirt,Hemd,Kleidung
t-shirt,T-Shirt,Kleidung
pants,Hose,Kleidung
jeans,Jeans,Kleidung
skirt,Rock,Kleidung
dress,Kleid,Kleidung
jacket,Jacke,Kleidung
coat,Mantel,Kleidung
sweater,Pullover,Kleidung
shoes,Schuhe,Kleidung
boots,Stiefel,Kleidung
socks,Socken,Kleidung
hat,Hut,Kleidung
cap,Mütze,Kleidung
scarf,Schal,Kleidung
gloves,Handschuhe,Kleidung
belt,Gürtel,Kleidung
bag,Tasche,Kleidung
glasses,Brille,Kleidung
body,Körper,Gesundheit
head,Kopf,Gesundheit
hair,Haar,Gesundheit
face,Gesicht,Gesundheit
eye,Auge,Gesundheit
ear,Ohr,Gesundheit
nose,Nase,Gesundheit
mouth,Mund,Gesundheit
tooth,Zahn,Gesundheit
neck,Hals,Gesundheit
shoulder,Schulter,Gesundheit
arm,Arm,Gesundheit
hand,Hand,Gesundheit
finger,Finger,Gesundheit
chest,Brust,Gesundheit
stomach,Magen,Gesundheit
leg,Bein,Gesundheit
knee,Knie,Gesundheit
foot,Fuß,Gesundheit
toe,Zeh,Gesundheit
back,Rücken,Gesundheit
heart,Herz,Gesundheit
pain,Schmerz,Gesundheit
doctor,Arzt,Gesundheit
hospital,Krankenhaus,Gesundheit
medicine,Medikament,Gesundheit
sick,krank,Gesundheit
healthy,gesund,Gesundheit
tired,müde,Gesundheit
city,Stadt,Reisen & Stadt
town,Kleinstadt,Reisen & Stadt
village,Dorf,Reisen & Stadt
street,Straße,Reisen & Stadt
road,Weg,Reisen & Stadt
square,Platz,Reisen & Stadt
center,Zentrum,Reisen & Stadt
